question,choice_a,choice_b,choice_c,choice_d,answer,explanation
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Mercury","Mars","Mars looks red because iron minerals in its surface soil oxidize."
"What gas do plants absorb during photosynthesis?","Oxygen","Carbon dioxide","Nitrogen","Hydrogen","Carbon dioxide","Plants use carbon dioxide, water, and sunlight to make glucose."
"Which number completes the pattern: 2, 4, 8, 16, ?","18","24","32","64","32","Each number doubles the previous number."
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Pacific Ocean","Arctic Ocean","Pacific Ocean","The Pacific Ocean is the largest and deepest ocean on Earth."
"Which tool is commonly used to measure temperature?","Barometer","Thermometer","Compass","Hygrometer","Thermometer","A thermometer measures temperature."
"What is the capital city of Japan?","Kyoto","Osaka","Tokyo","Sapporo","Tokyo","Tokyo is Japan's capital and one of the world's largest metropolitan areas."
"What does CPU stand for?","Central Processing Unit","Computer Power Utility","Core Program Unit","Central Pixel Unit","Central Processing Unit","The CPU is the main processor that executes instructions in a computer."
"Which animal is known for changing color to blend into its surroundings?","Dolphin","Chameleon","Penguin","Horse","Chameleon","Chameleons can change color for camouflage, signaling, and temperature regulation."
"How many sides does a hexagon have?","5","6","7","8","6","A hexagon is a polygon with six sides."
"Which force keeps planets in orbit around the Sun?","Magnetism","Gravity","Friction","Electricity","Gravity","Gravity pulls planets toward the Sun while their motion carries them forward in orbit."
